path,source_relative,bytes,width,height,mode,format,embedded_dpi,sha256,duplicate_of
copper_wire/original/600-dicot-sim-48-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-48-1-120-15-deg0.jpg,66926,731,2193,L,JPEG,,96ae73d2d46dcbceda2b29777e742f1e2586a0726c04173de5397ec31aab0d79,
copper_wire/original/600-dicot-sim-49-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-49-1-120-15-deg0.jpg,14629,146,2356,L,JPEG,,3b45aa38d6fa2572a878de60dc609ba61432bb53c970fe84178cf473b89c1b30,
copper_wire/original/600-dicot-sim-5-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-5-1-120-15-deg0.jpg,40756,541,2036,L,JPEG,,1e8e1bc7df85c4b6b7a69e1695f29eaf8fcec8030916cd0d7795111b050396dd,
copper_wire/original/600-dicot-sim-50-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-50-1-120-15-deg0.jpg,58727,643,2503,L,JPEG,,378cc283098b1428216d1696e2bc04ce597094ea316969cf4cc9ec95d39688eb,
copper_wire/original/600-dicot-sim-6-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-6-1-120-15-deg0.jpg,13541,176,2377,L,JPEG,,39aba52d7c8eb2f02879b2b0918f6beb1b8fcd66a75368bc7237cf56b8b70785,
copper_wire/original/600-dicot-sim-7-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-7-1-120-15-deg0.jpg,18690,278,1984,L,JPEG,,6be75719be49361ba3df96b771e0f3f83261bc6d403494663167078bee948fb1,
copper_wire/original/600-dicot-sim-8-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-8-1-120-15-deg0.jpg,63985,669,2840,L,JPEG,,03bdcedfef15c2a287807e5b10569bda6ae9239675464a6834f767d0ec95fa60,
copper_wire/original/600-dicot-sim-9-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-9-1-120-15-deg0.jpg,27530,369,2166,L,JPEG,,edc897bac1f639023606d2bb536a30a153db0c887e19e38e91230a4c76c0322a,
copper_wire/original/600-monocot-sim-1-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-1-1-120-15-deg0.jpg,61217,573,2154,L,JPEG,,00da560398d54b643de0976899e2b65c0012072aec2992aab951c3f617340575,
copper_wire/original/600-monocot-sim-10-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-10-1-120-15-deg0.jpg,29790,395,1974,L,JPEG,,2f9d83145b558498c69a2e9e51a98874bd5c9f43fdb1fbe3b7835e130a0e5676,
copper_wire/original/600-monocot-sim-11-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-11-1-120-15-deg0.jpg,154530,1260,2708,L,JPEG,,27659a707a037945c82cc257fe7b489cdf4ab4efbdd52cc0992729817a48d270,
copper_wire/original/600-monocot-sim-12-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-12-1-120-15-deg0.jpg,103576,817,2986,L,JPEG,,f3ef1d3dd43488f0c7e29be22f01acee2dbc7dd42c949ab2aed39a8d40102ac6,
copper_wire/original/600-monocot-sim-13-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-13-1-120-15-deg0.jpg,27215,517,2029,L,JPEG,,5f4a131f919805590fa33a13ac45dac7f8e671b5f12b07c0575b1b3639b8532c,
copper_wire/original/600-monocot-sim-15-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-15-1-120-15-deg0.jpg,133418,1521,2726,L,JPEG,,e22c7cab33ef3fd3c6c1255cdf0ee903a3c5d5d6eff5c9fcbf2680bb077b4497,
copper_wire/original/600-monocot-sim-16-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-16-1-120-15-deg0.jpg,40741,476,2333,L,JPEG,,5090779694c17d50e550cb5e810d4166b57625b5edd0fe89523be77654eae9b6,
copper_wire/original/600-monocot-sim-17-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-17-1-120-15-deg0.jpg,123797,842,2880,L,JPEG,,aba62626bdedd98df45fa0543c53aa79863d4da18de9eb0279fd6633c0b76238,
copper_wire/original/600-monocot-sim-18-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-18-1-120-15-deg0.jpg,50813,526,2462,L,JPEG,,d3de72fdd02536ad0aee6caa3d60654e80b5d23efc3a97ca5f79edaa963f4f9f,
copper_wire/original/600-monocot-sim-19-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-19-1-120-15-deg0.jpg,67361,1045,2349,L,JPEG,,357d32bc4d1111c5a04d48255aa4e0fb4652568a3cf5060e3905dca06ad3ac9d,
copper_wire/original/600-monocot-sim-2-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-2-1-120-15-deg0.jpg,46169,699,2077,L,JPEG,,23cb57fadc5d001053e808f571a089c68e73b3e441ef4c354e3f4690468554ac,
copper_wire/original/600-monocot-sim-20-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-20-1-120-15-deg0.jpg,70126,728,2304,L,JPEG,,0b859100085ae685b98ee29595becb0e7947d97425135e9e0ba975063dfe1f40,
copper_wire/original/600-monocot-sim-22-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-22-1-120-15-deg0.jpg,15531,251,1656,L,JPEG,,5bc93994a83a9c4b5c0935a45f5dab4c55f19c7284a9dcb9a17658eb4c8b7a3e,
copper_wire/original/600-monocot-sim-25-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-25-1-120-15-deg0.jpg,55218,628,2170,L,JPEG,,f02e0185ecf364843c121e1f7cabc53b3b249b43c4bee61ed7f485d6a7f7ccf8,
copper_wire/original/600-monocot-sim-28-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-28-1-120-15-deg0.jpg,83718,590,2485,L,JPEG,,22209533ecdd1e6adbe509c24f4866d253243a8b09567a288b15f57935227282,
copper_wire/original/600-monocot-sim-3-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-3-1-120-15-deg0.jpg,77094,795,2088,L,JPEG,,a7322376496b835f0d9575d5c247d9903c1423016464820a6b88313bf17fc7df,
copper_wire/original/600-monocot-sim-31-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-31-1-120-15-deg0.jpg,80945,1022,2346,L,JPEG,,d6e5553f83bc810a894cdf3ec7c397de128b3fd5f640b6485f4cf92ba2d42935,
copper_wire/original/600-monocot-sim-32-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-32-1-120-15-deg0.jpg,115929,1243,2479,L,JPEG,,6bfeb4a0bf7404989f97e52364d201114355da6a4925258a23602327b95ce77b,
copper_wire/original/600-monocot-sim-33-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-33-1-120-15-deg0.jpg,91401,999,2569,L,JPEG,,ff97a712e3c6fe546510932658c466bb073e2101f47ff797a9d509db26428847,
copper_wire/original/600-monocot-sim-36-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-36-1-120-15-deg0.jpg,70092,624,2170,L,JPEG,,26e54f313f3d0e3ee1255556c9d044f263815902f73c17d358338c070e1c8d3d,
copper_wire/original/600-monocot-sim-37-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-37-1-120-15-deg0.jpg,54154,942,2226,L,JPEG,,23cf56da1042e3df58ae72bd58185e04fbf51c637fe3305845ffdf55d9965e52,
copper_wire/original/600-monocot-sim-4-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-4-1-120-15-deg0.jpg,105836,1242,2252,L,JPEG,,eb7170cd64ce64c0c9fc8ca3a56de894dcf382b3c5928cadcb9636b55ef882fe,
copper_wire/original/600-monocot-sim-40-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-40-1-120-15-deg0.jpg,1336,56,677,L,JPEG,,2fb5a4af47a544c800ffdd7f06393a322d7372cc1ef8a5e1a91798396d421765,
copper_wire/original/600-monocot-sim-42-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-42-1-120-15-deg0.jpg,212637,2405,2759,L,JPEG,,6ac64af15b135ae41806e76ffb54ea90a8284bb053e01cf6cd06d73737820269,
copper_wire/original/600-monocot-sim-43-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-43-1-120-15-deg0.jpg,72661,1278,2595,L,JPEG,,95124efcc30e0f9a098d7a330e1ad1dbba988b9d6bfb27bfa538904a2128eeab,
copper_wire/original/600-monocot-sim-44-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-44-1-120-15-deg0.jpg,61626,816,2654,L,JPEG,,0999392573ede63e11bb473a0db9f9b170f1447691f0b8157f6b9a5a6d1a790d,
copper_wire/original/600-monocot-sim-46-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-46-1-120-15-deg0.jpg,153167,1928,2745,L,JPEG,,8a690cacf74121bf77b622e5c8498e602250cb474b53c09dfa00600d00a005a8,
copper_wire/original/600-monocot-sim-47-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-47-1-120-15-deg0.jpg,108675,1345,2260,L,JPEG,,8d3b3b7893d5560aecbbff694e159698db0b7f347223d4d7b49bd88f67e56898,
copper_wire/original/600-monocot-sim-48-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-48-1-120-15-deg0.jpg,14707,259,1766,L,JPEG,,60f189818fcb9141ef5a144b2163142dcc1374dd58783c5002fec25ad36c3905,
copper_wire/original/600-monocot-sim-49-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-49-1-120-15-deg0.jpg,53191,925,1990,L,JPEG,,9f15862da0446fb6ed62983acb73edd2da83a4cc1e069f08b248f5355dcf78a4,
copper_wire/original/600-monocot-sim-7-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-7-1-120-15-deg0.jpg,97540,746,2418,L,JPEG,,f5416fe0add4c3666d71c5a7e873546f5d63a258b1517a16979c2a3decf6aa39,
copper_wire/original/600-monocot-sim-8-1-120-15-deg0.jpg,铜丝模拟根系/600-monocot-sim-8-1-120-15-deg0.jpg,47853,708,2520,L,JPEG,,45232de5a8973346bfbd4b7bdffa796042a01c1b2149e8b0838f5276621b606b,
four_examples/original/input_1.png,results/four_image_review/input_1.png,891789,2790,4688,RGB,PNG,,d3c8db342ea523ae6a5515e0d86b12d5d34e2e040ab31b333fb031e5bc2bd398,
four_examples/original/input_2.png,results/four_image_review/input_2.png,1801125,2957,5159,RGB,PNG,,bdc183d0c4bffd1507a5a5455c0c8de2c573aa9a487c4b6bd9128afdcd2f23cf,
four_examples/original/input_3.png,results/four_image_review/input_3.png,1360929,1426,3135,RGB,PNG,,113d5feb676cdfdc1f1baa3deed184c556f1fc7b29fc7ab2509a7e4fd9013e6f,
four_examples/original/input_4.png,results/four_image_review/input_4.png,4847858,3401,4884,RGB,PNG,,f83ab989f90b9276f8abdcd981baf21b913e5b8f17342cbef2071b7f124e0b47,
real_roots_2024/jpeg/2024-DH-P0-1.jpg,2024-raw/2024-DH-P0-1.jpg,476340,1707,2451,RGB,JPEG,"[150.0, 150.0]",6fb1ecdade11fea3e0cf3e59f772ebdb614823a83a22570c90eaaee8b9ed73f6,
real_roots_2024/jpeg/2024-DH-P0-2.jpg,2024-raw/2024-DH-P0-2.jpg,2506898,3401,4884,RGB,JPEG,"[300.0, 300.0]",4a3d7461faaceb26bcd37e7631b1bfbfc1f7f0e01f053edfede4fd799332b60f,
real_roots_2024/jpeg/2024-DH-P1-1.jpg,2024-raw/2024-DH-P1-1.jpg,2416184,3401,4885,RGB,JPEG,"[300.0, 300.0]",0a4ded62fc84d5fa9b34006336ebdf372f21ac9c99af1b51f4dfc76c4d67f181,
real_roots_2024/jpeg/2024-DH-P1-2.jpg,2024-raw/2024-DH-P1-2.jpg,1055288,3413,4901,RGB,JPEG,"[300.0, 300.0]",dacd1140405aa11c14dbc80120a3b347428fd2a14669590cb958bf1b3b704c41,
real_roots_2024/jpeg/2024-DH-P2-1.jpg,2024-raw/2024-DH-P2-1.jpg,1289834,3413,4901,RGB,JPEG,"[300.0, 300.0]",35c0c3e798f2eed913005fb55862a42f592489697b5dcfc1704a7ffbb6289f6d,
real_roots_2024/jpeg/2024-DH-P2-2.jpg,2024-raw/2024-DH-P2-2.jpg,1987292,3401,4884,RGB,JPEG,"[300.0, 300.0]",76565bb1c1e5cbad82d84657233c0880e68bf98eab48854ed887ce794e0f33f3,
real_roots_2024/jpeg/2024-DH-P3-1.jpg,2024-raw/2024-DH-P3-1.jpg,2465999,3401,4884,RGB,JPEG,"[300.0, 300.0]",2ec72e30ca2f32c7a9252715b4eb218f1c23972cafab138fc04416151205ec72,
real_roots_2024/jpeg/2024-DH-P3-2.jpg,2024-raw/2024-DH-P3-2.jpg,2265551,3401,4884,RGB,JPEG,"[300.0, 300.0]",adcb804dc98f4a52ab7aee54ef5a8d17141a9f80d41a4eca6e9f2a91a3e905c4,
real_roots_2024/jpeg/2024-DH-P4-1.jpg,2024-raw/2024-DH-P4-1.jpg,2364236,3401,4884,RGB,JPEG,"[300.0, 300.0]",7279f1a954e1a23f267461b7adecb024c2346cc27e2a2ad6a6aa40ac3398d78e,
real_roots_2024/jpeg/2024-DH-P4-2.jpg,2024-raw/2024-DH-P4-2.jpg,2189881,3401,4884,RGB,JPEG,"[300.0, 300.0]",6512fc14cdccf5374c2e5f092af820f90ae4303e7476d41dadf5c69ff48679e9,
real_roots_2024/jpeg/2024-DH-P5-1.jpg,2024-raw/2024-DH-P5-1.jpg,2388298,3401,4884,RGB,JPEG,"[300.0, 300.0]",0f08a846bd413b4021119adf19a182e87e7fcd3688195a12fadab57cee268318,
real_roots_2024/jpeg/2024-DH-P5-2.jpg,2024-raw/2024-DH-P5-2.jpg,2429581,3401,4884,RGB,JPEG,"[300.0, 300.0]",92d15efd556d4f2f2797299fad7b39a7e73a6b67f53c7bfb22628bb8db9259c5,
real_roots_2024/jpeg/2024-XY-P0-1.jpg,2024-raw/2024-XY-P0-1.jpg,391425,1707,2451,RGB,JPEG,"[150.0, 150.0]",a9a695bbb645535d5e5997c3691fe9d8be0190ba7ff62870cb40f999172762c1,
real_roots_2024/jpeg/2024-XY-P0-2.jpg,2024-raw/2024-XY-P0-2.jpg,382073,1707,2451,RGB,JPEG,"[150.0, 150.0]",a4327deca23f44886288fe0e77f3b3c2809ae98137181aeb82da3ccaa16c0554,
real_roots_2024/jpeg/2024-XY-P1-1.jpg,2024-raw/2024-XY-P1-1.jpg,390887,1707,2451,RGB,JPEG,"[150.0, 150.0]",f991846042122c3d0402e868f3e77c4edab2991a49c2d526b10702ecea287fc6,
real_roots_2024/jpeg/2024-XY-P1-2.jpg,2024-raw/2024-XY-P1-2.jpg,289236,1707,2451,RGB,JPEG,"[150.0, 150.0]",8ac0ad15c78daa75a31e627552aa31053ecb075a184ffa341baef7ef0867d224,
real_roots_2024/jpeg/2024-XY-P2-1.jpg,2024-raw/2024-XY-P2-1.jpg,350932,1707,2451,RGB,JPEG,"[150.0, 150.0]",fe29e2c9999171a70f3d2fc872e53779665add4f74a7fbb9ad77dead2a844e44,
real_roots_2024/jpeg/2024-XY-P2-2.jpg,2024-raw/2024-XY-P2-2.jpg,318113,1707,2451,RGB,JPEG,"[150.0, 150.0]",fe86601437f100ca27c56217717cca95f28137c130db5142fb6ec493bb57265d,
real_roots_2024/jpeg/2024-XY-P3-1.jpg,2024-raw/2024-XY-P3-1.jpg,959532,3414,4902,RGB,JPEG,"[300.0, 300.0]",8d14c2f0dc777ffc7113f512d878a61ce62a2d23b23a18758c7bdcb1a2ced5ee,
real_roots_2024/jpeg/2024-XY-P3-2.jpg,2024-raw/2024-XY-P3-2.jpg,848168,3414,4902,RGB,JPEG,"[300.0, 300.0]",662ae016a323539e64edfebe7e7c5575e454edafa0185b30fb44a1e8948ee393,
real_roots_2024/jpeg/2024-XY-P4-1.jpg,2024-raw/2024-XY-P4-1.jpg,419821,1707,2451,RGB,JPEG,"[150.0, 150.0]",fb26b5891a9758b5343dee51622754c16566b76b082c98cad2edb11a2f3a7031,
real_roots_2024/jpeg/2024-XY-P4-2.jpg,2024-raw/2024-XY-P4-2.jpg,933001,3414,4902,RGB,JPEG,"[300.0, 300.0]",8b1e4554a6c4684cf7f33bd51bd543607ebc62a6b508697c9143b04fac71c732,
real_roots_2024/jpeg/2024-XY-P5-1.jpg,2024-raw/2024-XY-P5-1.jpg,1302092,3414,4902,RGB,JPEG,"[300.0, 300.0]",322ed4f6462e48b33f7bea8013f4e1eb9fda633730d71bdaaf91a07abc9b2c69,
real_roots_2024/jpeg/2024-XY-P5-2.jpg,2024-raw/2024-XY-P5-2.jpg,1054784,3414,4902,RGB,JPEG,"[300.0, 300.0]",658523e36281ff65eba50791eec71ea54b3ba570eaf3ca4abc87c74bda547062,
